,,Tariff,Tariff,Tariff,Tariff,Tariff,Tariff,Tariff,Tariff,Tariff,Tariff,Tariff,Tariff
,,No HCE,No HCE,No HCE,No HCE,No HCE,No HCE, HCE, HCE, HCE, HCE, HCE, HCE
,,Median Sensitivity,UI Sensitivity,SD Sensitivity,Median Specificity,UI Specificity,SD Specificity,Median Sensitivity,UI Sensitivity,SD Sensitivity,Median Specificity,UI Specificity,SD Specificity
adult,AIDS,20.8,"(20.2, 21.3)",7,97.9,"(97.9, 98.0)",0.4,52.5,"(52.0, 53.2)",8.2,97.8,"(97.8, 97.9)",0.4
adult,Diarrhea/Dysentery,35.1,"(34.1, 35.7)",9.6,96.7,"(96.7, 96.8)",0.5,40.4,"(39.6, 41.1)",9.1,97.7,"(97.7, 97.8)",0.4
adult,Malaria,32,"(32.0, 32.0)",10.3,95.4,"(95.4, 95.5)",0.6,59.1,"(57.1, 60.0)",11.2,96.1,"(96.0, 96.2)",0.6
adult,Maternal,66.7,"(66.0, 67.5)",8.2,98.8,"(98.8, 98.9)",0.3,69,"(68.3, 69.4)",8.9,99.3,"(99.3, 99.4)",0.2
adult,Other Infectious Diseases,6.1,"(6.0, 6.2)",4.2,98.9,"(98.9, 98.9)",0.3,18.4,"(18.0, 19.0)",7.1,98.8,"(98.8, 98.9)",0.3
adult,Pneumonia,7.4,"(6.8, 7.7)",3.8,98.8,"(98.7, 98.8)",0.3,17.7,"(17.2, 18.0)",5.9,98.6,"(98.6, 98.7)",0.3
adult,TB,23.3,"(22.8, 23.9)",7.3,98.8,"(98.7, 98.8)",0.4,45.2,"(44.8, 45.9)",7.7,98.1,"(98.0, 98.2)",0.4
adult,Acute Myocardial Infarction,42.9,"(42.1, 43.9)",8,96,"(95.9, 96.0)",0.7,46,"(45.2, 46.5)",8.6,98.7,"(98.7, 98.7)",0.3
adult,Asthma,33.3,"(33.3, 33.3)",13,96.8,"(96.7, 96.8)",0.5,58.3,"(58.3, 66.7)",14.7,97.2,"(97.1, 97.2)",0.5
adult,Breast Cancer,71.4,"(70.8, 71.8)",8.4,99.1,"(99.1, 99.2)",0.2,75.5,"(75.5, 77.1)",7.6,99.4,"(99.4, 99.4)",0.2
adult,Cervical Cancer,70.3,"(69.2, 71.8)",9.6,97.8,"(97.8, 97.8)",0.4,76.5,"(74.4, 76.9)",9.4,98.8,"(98.7, 98.8)",0.3
adult,Cirrhosis,19.7,"(19.2, 20.5)",8,99.4,"(99.4, 99.4)",0.2,52.6,"(52.1, 53.3)",9,98.5,"(98.4, 98.5)",0.3
adult,Colorectal Cancer,8,"(8.0, 8.0)",5.4,99.1,"(99.1, 99.1)",0.3,20,"(20.0, 20.0)",9.1,99.8,"(99.7, 99.8)",0.1
adult,COPD,23.3,"(22.2, 23.3)",7.9,98.2,"(98.2, 98.3)",0.4,41.9,"(40.5, 41.9)",9.5,98.9,"(98.9, 98.9)",0.3
adult,Diabetes,33,"(32.4, 33.3)",7.2,95.8,"(95.7, 95.8)",0.6,52.4,"(51.9, 53.1)",7.6,96.3,"(96.3, 96.4)",0.5
adult,Epilepsy,41.7,"(41.7, 50.0)",14.6,98,"(97.9, 98.0)",0.4,58.3,"(58.3, 60.0)",13.5,98.2,"(98.1, 98.2)",0.4
adult,Esophageal Cancer,60,"(60.0, 60.0)",17.1,97.4,"(97.3, 97.5)",0.5,80,"(80.0, 80.0)",14.5,98.7,"(98.7, 98.8)",0.4
adult,Leukemia/Lymphomas,20.5,"(20.0, 20.5)",7.7,98.3,"(98.2, 98.3)",0.4,36.8,"(35.9, 38.5)",9.4,99.2,"(99.1, 99.2)",0.3
adult,Lung Cancer,15.4,"(12.5, 15.4)",9.3,98.8,"(98.8, 98.9)",0.3,30.8,"(30.8, 30.8)",11.4,99.3,"(99.3, 99.3)",0.2
adult,Other Cardiovascular Diseases,19,"(18.4, 19.4)",6.8,95.7,"(95.6, 95.8)",0.5,39.1,"(38.3, 40.0)",8.9,97,"(96.9, 97.0)",0.5
adult,Other Non-communicable Diseases,9.7,"(9.5, 10.1)",6.1,96.6,"(96.6, 96.7)",0.5,17.1,"(16.7, 17.5)",6.1,97,"(96.9, 97.0)",0.5
adult,Prostate Cancer,50,"(50.0, 50.0)",15.3,97.4,"(97.3, 97.4)",0.5,66.7,"(63.6, 66.7)",14.1,98.9,"(98.9, 99.0)",0.3
adult,Renal Failure,7.8,"(7.7, 8.2)",3.9,98.8,"(98.8, 98.8)",0.3,31,"(30.7, 31.7)",8.3,98.7,"(98.7, 98.8)",0.3
adult,Stomach Cancer,18.8,"(18.8, 18.8)",10.3,99.2,"(99.2, 99.3)",0.3,31.3,"(31.3, 37.5)",12.2,98.9,"(98.9, 99.0)",0.3
adult,Stroke,45,"(44.5, 45.5)",8.6,97.2,"(97.2, 97.3)",0.5,51.8,"(51.3, 52.4)",8.8,97.9,"(97.9, 97.9)",0.4
adult,Bite of Venomous Animal,87.5,"(87.5, 87.5)",10.7,99.9,"(99.9, 99.9)",0.1,81.3,"(81.3, 81.3)",10.1,99.9,"(99.9, 99.9)",0.1
adult,Drowning,84.6,"(84.6, 84.6)",7.8,99.7,"(99.6, 99.7)",0.2,81.8,"(80.8, 84.6)",8.5,99.9,"(99.9, 99.9)",0.1
